Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-8411,158,21
Action-8412,400,45
Action-8413,244,15
Action-8414,302,22
Action-8415,250,43
Action-8416,137,35
Action-8417,223,6
Action-8418,26,1
Action-8419,287,46
Action-8420,116,49
Action-8421,440,10
Action-8422,304,29
Action-8423,4,13
Action-8424,396,43
Action-8425,153,16
Action-8426,487,17
Action-8427,147,16
Action-8428,67,2
Action-8429,175,7
Action-8430,81,8
Action-8431,333,0
Action-8432,499,4
Action-8433,499,3
Action-8434,234,24
Action-8435,324,27
Action-8436,181,0
Action-8437,362,20
Action-8438,249,42
Action-8439,38,39
Action-8440,43,21
Action-8441,42,7
Action-8442,420,13
Action-8443,434,16
Action-8444,79,7
Action-8445,299,12
Action-8446,394,14
Action-8447,402,1
Action-8448,211,8
Action-8449,300,13
Action-8450,399,37
Action-8451,96,27
Action-8452,121,17
Action-8453,442,4
Action-8454,128,6
Action-8455,172,25
Action-8456,289,48
Action-8457,206,43
Action-8458,315,1
Action-8459,342,13
Action-8460,373,1
Action-8461,496,0
Action-8462,261,26
Action-8463,1,34
Action-8464,352,49
Action-8465,432,11
Action-8466,302,35
Action-8467,206,23
Action-8468,393,13
Action-8469,14,2
Action-8470,494,12
Action-8471,286,4
Action-8472,129,46
Action-8473,222,12
Action-8474,423,44
Action-8475,425,20
Action-8476,354,22
Action-8477,368,32
Action-8478,21,49
Action-8479,203,14
Action-8480,277,39
Action-8481,388,41
Action-8482,217,16
Action-8483,92,4
Action-8484,65,44
Action-8485,65,35
Action-8486,306,45
Action-8487,187,13
Action-8488,454,15
Action-8489,129,40
Action-8490,417,37
Action-8491,464,26
Action-8492,347,20
Action-8493,394,46
Action-8494,152,34
Action-8495,468,0
Action-8496,251,9
Action-8497,404,43
Action-8498,146,40
Action-8499,202,4
Action-8500,178,9
Action-8501,321,32
Action-8502,364,17
Action-8503,457,7
Action-8504,302,14
Action-8505,108,46
Action-8506,263,41
Action-8507,191,24
Action-8508,304,4
Action-8509,94,20
Action-8510,459,28
Action-8511,304,43
Action-8512,297,27
Action-8513,161,22
Action-8514,193,4
Action-8515,141,6
Action-8516,378,18
Action-8517,186,14
Action-8518,398,38
Action-8519,37,14
Action-8520,342,22
Action-8521,301,42
Action-8522,251,39
Action-8523,145,31
Action-8524,188,1
Action-8525,195,38
Action-8526,76,44
Action-8527,246,35
Action-8528,94,9
Action-8529,346,10
Action-8530,332,14
Action-8531,207,1
Action-8532,322,29
Action-8533,111,20
Action-8534,332,47
Action-8535,477,22
Action-8536,248,41
Action-8537,135,14
Action-8538,126,35
Action-8539,480,30
Action-8540,449,17
Action-8541,249,29
Action-8542,353,47
Action-8543,101,39
Action-8544,283,17
Action-8545,299,42
Action-8546,239,20
Action-8547,101,45
Action-8548,486,29
Action-8549,453,34
Action-8550,111,18
Action-8551,478,40
Action-8552,482,12
Action-8553,90,32
Action-8554,73,49
Action-8555,55,44
Action-8556,132,2
Action-8557,239,2
Action-8558,79,36
Action-8559,26,21
Action-8560,286,28
Action-8561,150,8
Action-8562,159,41
Action-8563,32,35
Action-8564,12,12
Action-8565,364,47
Action-8566,390,2
Action-8567,444,5
Action-8568,385,7
Action-8569,472,12
Action-8570,422,0
Action-8571,173,46
Action-8572,352,3
Action-8573,201,8
Action-8574,31,16
Action-8575,461,26
Action-8576,458,35
Action-8577,329,36
Action-8578,206,21
Action-8579,189,8
Action-8580,371,13
Action-8581,208,31
Action-8582,383,10
Action-8583,304,19
Action-8584,464,12
Action-8585,481,8
Action-8586,131,26
Action-8587,108,32
Action-8588,125,17
Action-8589,193,22
Action-8590,178,28
Action-8591,262,6
Action-8592,48,0
Action-8593,361,32
Action-8594,227,31
Action-8595,333,16
Action-8596,337,18
Action-8597,470,29
Action-8598,176,22
Action-8599,446,29
Action-8600,435,18
Action-8601,69,13
Action-8602,168,33
Action-8603,108,32
Action-8604,229,41
Action-8605,84,42
Action-8606,63,19
Action-8607,233,47
Action-8608,96,40
Action-8609,319,41
Action-8610,87,22
Action-8611,473,37
Action-8612,16,15
Action-8613,151,38
Action-8614,153,48
Action-8615,256,48
Action-8616,239,34
Action-8617,363,32
Action-8618,239,30
Action-8619,28,33
Action-8620,457,40
Action-8621,91,24
Action-8622,245,47
Action-8623,263,39
Action-8624,349,18
Action-8625,117,22
Action-8626,5,1
Action-8627,125,43
Action-8628,319,25
Action-8629,166,2
Action-8630,70,46
Action-8631,200,46
Action-8632,195,20
Action-8633,109,28
Action-8634,265,33
Action-8635,91,9
Action-8636,452,39
Action-8637,67,15
Action-8638,369,39
Action-8639,345,33
Action-8640,306,31
Action-8641,0,38
Action-8642,441,41
Action-8643,130,34
Action-8644,141,27
Action-8645,7,42
Action-8646,488,44
Action-8647,302,36
Action-8648,322,29
Action-8649,56,38
Action-8650,336,44
Action-8651,145,19
Action-8652,228,9
Action-8653,58,40
Action-8654,121,31
Action-8655,221,2
Action-8656,313,48
Action-8657,335,31
Action-8658,440,23
Action-8659,276,9
Action-8660,16,14
Action-8661,478,22
Action-8662,231,40
Action-8663,53,2
Action-8664,94,39
Action-8665,190,13
Action-8666,221,30
Action-8667,283,38
Action-8668,80,6
Action-8669,123,20
Action-8670,308,11
Action-8671,266,30
Action-8672,6,37
Action-8673,44,33
Action-8674,189,38
Action-8675,294,49
Action-8676,20,35
Action-8677,86,8
Action-8678,6,32
Action-8679,1,12
Action-8680,294,33
Action-8681,179,9
Action-8682,26,5
Action-8683,420,35
Action-8684,313,5
Action-8685,372,48
Action-8686,209,13
Action-8687,344,8
Action-8688,85,40
Action-8689,355,19
Action-8690,20,29
Action-8691,169,47
Action-8692,128,20
Action-8693,159,48
Action-8694,107,43
Action-8695,169,25
Action-8696,133,7
Action-8697,349,43
Action-8698,288,25
Action-8699,142,29
Action-8700,293,35
Action-8701,300,8
Action-8702,489,19
Action-8703,398,39
Action-8704,289,19
Action-8705,359,25
Action-8706,136,24
Action-8707,412,3
Action-8708,100,12
Action-8709,358,36
Action-8710,261,37
Action-8711,325,38
Action-8712,446,11
Action-8713,395,37
Action-8714,0,24
Action-8715,444,11
Action-8716,351,25
Action-8717,25,43
Action-8718,13,32
Action-8719,290,4
Action-8720,425,38
Action-8721,129,45
Action-8722,250,5
Action-8723,225,41
Action-8724,271,42
Action-8725,12,40
Action-8726,124,4
Action-8727,18,6
Action-8728,53,7
Action-8729,132,0
Action-8730,119,13
Action-8731,208,45
Action-8732,326,14
Action-8733,83,11
Action-8734,100,46
Action-8735,2,4
Action-8736,145,22
Action-8737,417,27
Action-8738,385,43
Action-8739,247,48
Action-8740,60,39
Action-8741,487,36
Action-8742,389,30
Action-8743,238,26
Action-8744,165,3
Action-8745,427,20
Action-8746,454,10
Action-8747,158,19
Action-8748,312,23
Action-8749,354,1
Action-8750,97,5
Action-8751,438,6
Action-8752,18,19
Action-8753,211,26
Action-8754,428,19
Action-8755,335,9
Action-8756,445,37
Action-8757,313,10
Action-8758,191,5
Action-8759,224,20
Action-8760,415,25
Action-8761,372,34
Action-8762,225,2
Action-8763,379,27
Action-8764,334,46
Action-8765,277,16
Action-8766,42,21
Action-8767,395,6
Action-8768,261,33
Action-8769,139,34
Action-8770,201,15
Action-8771,309,19
Action-8772,32,13
Action-8773,424,8
Action-8774,185,8
Action-8775,266,47
Action-8776,462,43
Action-8777,154,44
Action-8778,438,24
Action-8779,400,5
Action-8780,171,13
Action-8781,396,36
Action-8782,436,21
Action-8783,64,23
Action-8784,498,0
Action-8785,308,2
Action-8786,72,12
Action-8787,148,21
Action-8788,32,8
Action-8789,0,33
Action-8790,259,39
Action-8791,40,39
Action-8792,105,43
Action-8793,429,18
Action-8794,302,2
Action-8795,380,2
Action-8796,7,24
Action-8797,77,1
Action-8798,197,22
Action-8799,486,21
Action-8800,348,47
Action-8801,290,38
Action-8802,71,46
Action-8803,134,18
Action-8804,72,8
Action-8805,211,38
Action-8806,412,43
Action-8807,218,13
Action-8808,331,10
Action-8809,348,10
Action-8810,55,34
Action-8811,128,13
Action-8812,476,28
Action-8813,211,0
Action-8814,264,42
Action-8815,317,32
Action-8816,469,22
Action-8817,40,3
Action-8818,340,40
Action-8819,278,33
Action-8820,55,2
Action-8821,178,45
Action-8822,491,47
Action-8823,311,29
Action-8824,267,0
Action-8825,396,43
Action-8826,326,37
Action-8827,347,30
Action-8828,300,34
Action-8829,493,27
Action-8830,354,45
Action-8831,151,11
Action-8832,465,48
Action-8833,147,34
Action-8834,50,44
Action-8835,118,44
Action-8836,348,15
Action-8837,79,26
Action-8838,435,1
Action-8839,479,40
Action-8840,169,33
Action-8841,419,20
Action-8842,218,1
Action-8843,482,19
Action-8844,358,46
Action-8845,124,45
Action-8846,48,9
Action-8847,297,9
Action-8848,393,18
Action-8849,156,17
Action-8850,6,14
Action-8851,20,7
Action-8852,458,21
Action-8853,355,18
Action-8854,165,33
Action-8855,373,14
Action-8856,427,19
Action-8857,387,35
Action-8858,113,47
Action-8859,170,4
Action-8860,41,19
Action-8861,201,19
Action-8862,287,44
Action-8863,98,10
Action-8864,137,10
Action-8865,90,1
Action-8866,265,15
Action-8867,115,3
Action-8868,24,36
Action-8869,420,29
Action-8870,363,33
Action-8871,154,9
Action-8872,313,17
Action-8873,449,24
Action-8874,388,9
Action-8875,150,15
Action-8876,55,0
Action-8877,121,32
Action-8878,75,26
Action-8879,163,39
Action-8880,481,42
Action-8881,380,21
Action-8882,281,10
Action-8883,164,17
Action-8884,158,21
Action-8885,156,49
Action-8886,57,15
Action-8887,264,11
Action-8888,272,26
Action-8889,317,48
Action-8890,233,33
Action-8891,313,42
Action-8892,364,44
Action-8893,271,16
Action-8894,17,10
Action-8895,499,44
Action-8896,411,6
Action-8897,360,40
Action-8898,490,31
Action-8899,297,49
Action-8900,71,21
Action-8901,235,3
Action-8902,123,5
Action-8903,133,27
Action-8904,370,39
Action-8905,172,47
Action-8906,103,8
Action-8907,304,43
Action-8908,312,30
Action-8909,253,46
Action-8910,448,9
Action-8911,361,6
Action-8912,215,22
Action-8913,361,10
Action-8914,74,6
Action-8915,331,33
Action-8916,257,24
Action-8917,497,20
Action-8918,181,5
Action-8919,48,38
Action-8920,442,1
Action-8921,218,20
Action-8922,294,36
Action-8923,244,36
Action-8924,96,48
Action-8925,320,34
Action-8926,91,49
Action-8927,322,24
Action-8928,191,45
Action-8929,19,35
Action-8930,16,49
Action-8931,474,13
Action-8932,329,49
Action-8933,18,13
Action-8934,259,16
Action-8935,211,40
Action-8936,382,38
Action-8937,283,48
Action-8938,73,28
Action-8939,44,3
Action-8940,280,21
Action-8941,321,31
Action-8942,163,6
Action-8943,338,7
Action-8944,284,18
Action-8945,385,37
Action-8946,158,5
Action-8947,26,0
Action-8948,179,45
Action-8949,194,19
Action-8950,258,20
Action-8951,4,16
Action-8952,377,36
Action-8953,315,28
Action-8954,340,6
Action-8955,419,42
Action-8956,212,39
Action-8957,226,41
Action-8958,147,23
Action-8959,391,8
Action-8960,319,31
Action-8961,38,12
Action-8962,217,33
Action-8963,470,18
Action-8964,145,27
Action-8965,382,33
Action-8966,283,32
Action-8967,199,14
Action-8968,8,6
Action-8969,190,27
Action-8970,410,31
Action-8971,85,24
Action-8972,70,4
Action-8973,66,43
Action-8974,292,33
Action-8975,366,29
Action-8976,58,4
Action-8977,389,44
Action-8978,208,19
Action-8979,183,5
Action-8980,235,10
Action-8981,344,44
Action-8982,405,23
Action-8983,394,6
Action-8984,231,11
Action-8985,464,34
Action-8986,26,27
Action-8987,164,7
Action-8988,219,20
Action-8989,195,17
Action-8990,423,23
Action-8991,313,37
Action-8992,484,37
Action-8993,9,40
Action-8994,82,34
Action-8995,227,46
Action-8996,182,29
Action-8997,96,24
Action-8998,86,20
Action-8999,41,49
Action-9000,265,44
Action-9001,209,19
Action-9002,477,10
Action-9003,492,32
Action-9004,304,36
Action-9005,437,8
Action-9006,481,23
Action-9007,226,48
Action-9008,300,14
Action-9009,226,41
Action-9010,163,31
Action-9011,167,28
Action-9012,371,25
Action-9013,463,44
Action-9014,111,45
Action-9015,334,38
Action-9016,107,35
Action-9017,110,18
Action-9018,310,45
Action-9019,266,26
Action-9020,331,32
Action-9021,245,36
Action-9022,102,48
Action-9023,89,35
Action-9024,448,27
Action-9025,427,46
Action-9026,324,45
Action-9027,67,17
Action-9028,42,2
Action-9029,335,5
Action-9030,294,28
Action-9031,185,24
Action-9032,116,24
Action-9033,160,2
Action-9034,238,16
Action-9035,3,20
Action-9036,137,43
Action-9037,107,31
Action-9038,355,30
Action-9039,180,5
Action-9040,439,37
Action-9041,363,37
Action-9042,275,28
Action-9043,65,7
Action-9044,92,9
Action-9045,230,45
Action-9046,248,14
Action-9047,238,42
Action-9048,64,32
Action-9049,74,26
Action-9050,310,17
Action-9051,333,40
Action-9052,168,22
Action-9053,201,10
Action-9054,370,0
Action-9055,493,26
Action-9056,100,40
Action-9057,73,38
Action-9058,211,44
Action-9059,233,37
Action-9060,242,33
Action-9061,477,6
Action-9062,249,35
Action-9063,343,49
Action-9064,320,48
Action-9065,200,8
Action-9066,399,19
Action-9067,101,9
Action-9068,247,40
Action-9069,177,19
Action-9070,131,10
Action-9071,460,21
Action-9072,97,15
Action-9073,256,32
Action-9074,311,9
Action-9075,284,36
Action-9076,58,37
Action-9077,371,14
Action-9078,204,40
Action-9079,298,20
Action-9080,24,31
Action-9081,245,37
Action-9082,53,12
Action-9083,382,15
Action-9084,236,31
Action-9085,222,48
Action-9086,74,14
Action-9087,234,39
Action-9088,49,3
Action-9089,277,7
Action-9090,180,23
Action-9091,128,6
Action-9092,377,21
Action-9093,128,26
Action-9094,153,38
Action-9095,476,19
Action-9096,391,15
Action-9097,380,36
Action-9098,304,34
Action-9099,197,31
Action-9100,245,44
Action-9101,388,1
Action-9102,55,9
Action-9103,219,2
Action-9104,51,10
Action-9105,223,5
Action-9106,73,44
Action-9107,168,40
Action-9108,480,33
Action-9109,100,0
Action-9110,339,36
Action-9111,368,3
Action-9112,104,32
Action-9113,208,25
Action-9114,98,20
Action-9115,271,28
Action-9116,113,6
Action-9117,146,28
Action-9118,388,24
Action-9119,206,1
Action-9120,241,9
Action-9121,123,28
Action-9122,307,27
Action-9123,301,24
Action-9124,21,37
Action-9125,262,44
Action-9126,429,29
Action-9127,51,2
Action-9128,353,1
Action-9129,147,29
Action-9130,341,40
Action-9131,249,23
Action-9132,473,15
Action-9133,481,2
Action-9134,408,0
Action-9135,93,32
Action-9136,68,11
Action-9137,220,47
Action-9138,359,38
Action-9139,399,33
Action-9140,207,12
Action-9141,50,31
Action-9142,386,27
Action-9143,462,1
Action-9144,145,18
Action-9145,254,31
Action-9146,341,9
Action-9147,9,5
Action-9148,10,4
Action-9149,160,0
Action-9150,174,35
Action-9151,235,7
Action-9152,112,47
Action-9153,52,25
Action-9154,219,18
Action-9155,386,6
Action-9156,277,31
Action-9157,258,38
Action-9158,142,22
Action-9159,431,35
Action-9160,61,43
Action-9161,308,19
Action-9162,99,33
Action-9163,58,38
Action-9164,261,7
Action-9165,251,10
Action-9166,305,2
Action-9167,96,18
Action-9168,136,14
Action-9169,68,3
Action-9170,180,16
Action-9171,65,7
Action-9172,110,1
Action-9173,389,0
Action-9174,351,15
Action-9175,133,27
Action-9176,341,17
Action-9177,497,29
Action-9178,336,7
Action-9179,70,10
Action-9180,323,8
Action-9181,58,9
Action-9182,269,12
Action-9183,202,14
Action-9184,37,42
Action-9185,339,36
Action-9186,454,45
Action-9187,21,47
Action-9188,470,45
Action-9189,227,14
Action-9190,205,43
Action-9191,470,36
Action-9192,366,29
Action-9193,166,38
Action-9194,301,31
Action-9195,497,12
Action-9196,207,27
Action-9197,269,37
Action-9198,470,23
Action-9199,84,36
Action-9200,204,37
Action-9201,448,44
Action-9202,197,45
Action-9203,120,8
Action-9204,117,12
Action-9205,360,44
Action-9206,26,32
Action-9207,405,17
Action-9208,463,21
Action-9209,211,27
Action-9210,328,45
Action-9211,183,17
Action-9212,30,19
Action-9213,380,18
Action-9214,466,22
Action-9215,285,7
Action-9216,363,35
Action-9217,163,42
Action-9218,299,48
Action-9219,86,18
Action-9220,307,13
Action-9221,278,13
Action-9222,286,15
Action-9223,205,31
Action-9224,235,17
Action-9225,301,36
Action-9226,203,35
Action-9227,354,25
Action-9228,329,49
Action-9229,235,20
Action-9230,343,8
Action-9231,304,32
Action-9232,244,44
Action-9233,93,45
Action-9234,296,19
Action-9235,468,39
Action-9236,377,18
Action-9237,198,31
Action-9238,131,20
Action-9239,301,1
Action-9240,103,32
Action-9241,1,24
Action-9242,285,47
Action-9243,43,24
Action-9244,184,24
Action-9245,417,38
Action-9246,376,39
Action-9247,349,36
Action-9248,349,23
Action-9249,208,11
Action-9250,365,48
Action-9251,14,32
Action-9252,122,46
Action-9253,425,0
Action-9254,392,28
Action-9255,62,46
Action-9256,485,2
Action-9257,400,37
Action-9258,255,16
Action-9259,379,4
Action-9260,32,36
Action-9261,446,4
Action-9262,28,14
Action-9263,485,20
Action-9264,430,14
Action-9265,81,16
Action-9266,69,14
Action-9267,115,21
Action-9268,45,11
Action-9269,306,38
Action-9270,161,8
Action-9271,265,2
Action-9272,388,0
Action-9273,136,12
Action-9274,155,46
Action-9275,295,7
Action-9276,197,10
Action-9277,356,42
Action-9278,458,43
Action-9279,302,32
Action-9280,315,27
Action-9281,425,37
Action-9282,132,4
Action-9283,315,29
Action-9284,120,23
Action-9285,278,16
Action-9286,397,3
Action-9287,260,8
Action-9288,280,22
Action-9289,131,25
Action-9290,445,1
Action-9291,154,4
Action-9292,488,7
Action-9293,272,13
Action-9294,433,11
Action-9295,334,33
Action-9296,4,13
Action-9297,396,11
Action-9298,44,42
Action-9299,344,37
Action-9300,108,23
Action-9301,472,28
Action-9302,465,5
Action-9303,238,36
Action-9304,148,38
Action-9305,442,22
Action-9306,306,28
Action-9307,159,46
Action-9308,357,36
Action-9309,472,47
Action-9310,284,38
Action-9311,70,25
Action-9312,439,33
Action-9313,271,47
